ID,Label,Group,Measure,Measure_Raw
4,Human,Early-corrected,66.6666667,0.666666667
4,Human,Late-corrected,33.3333333,0.333333333
11,AI,Early-corrected,0,0
11,AI,Late-corrected,14.2857143,0.142857143
12,AI,Early-corrected,0,0
12,AI,Late-corrected,25,0.25
16,AI,Early-corrected,100,1
16,AI,Late-corrected,33.3333333,0.333333333
21,AI,Early-corrected,100,1
21,AI,Late-corrected,28.5714286,0.285714286
33,AI + Human,Early-corrected,80,0.8
33,AI + Human,Late-corrected,66.6666667,0.666666667
39,Human,Early-corrected,0,0
39,Human,Late-corrected,30,0.3
41,Human,Early-corrected,75,0.75
41,Human,Late-corrected,100,1
61,AI + Human,Early-corrected,50,0.5
61,AI + Human,Late-corrected,0,0
63,AI,Early-corrected,66.6666667,0.666666667
63,AI,Late-corrected,50,0.5
64,Human,Early-corrected,80,0.8
64,Human,Late-corrected,60,0.6
65,AI,Early-corrected,66.6666667,0.666666667
65,AI,Late-corrected,57.1428571,0.571428571
66,AI + Human,Early-corrected,100,1
66,AI + Human,Late-corrected,0,0
91,Human,Early-corrected,20,0.2
91,Human,Late-corrected,100,1
92,AI + Human,Early-corrected,50,0.5
92,AI + Human,Late-corrected,50,0.5
98,Human,Early-corrected,100,1
98,Human,Late-corrected,0,0
101,AI + Human,Early-corrected,50,0.5
101,AI + Human,Late-corrected,50,0.5
103,AI,Early-corrected,100,1
103,AI,Late-corrected,30,0.3
109,AI,Early-corrected,100,1
109,AI,Late-corrected,80,0.8
115,Human,Early-corrected,71.4285714,0.714285714
115,Human,Late-corrected,40,0.4
118,Human,Late-corrected,15.3846154,0.153846154
119,AI,Late-corrected,100,1
120,Human,Early-corrected,100,1
120,Human,Late-corrected,0,0
121,AI,Early-corrected,100,1
121,AI,Late-corrected,75,0.75
122,Human,Early-corrected,80,0.8
122,Human,Late-corrected,100,1
123,AI + Human,Early-corrected,92.8571429,0.928571429
126,AI + Human,Late-corrected,50,0.5
129,Human,Early-corrected,100,1
129,Human,Late-corrected,0,0
130,AI,Late-corrected,100,1
131,AI + Human,Early-corrected,100,1
131,AI + Human,Late-corrected,33.3333333,0.333333333
132,AI + Human,Early-corrected,100,1
132,AI + Human,Late-corrected,33.3333333,0.333333333
133,AI + Human,Early-corrected,100,1
133,AI + Human,Late-corrected,0,0
135,AI,Early-corrected,50,0.5
